| Object_ID |           x_center |           y_center |
|         1 |  96.50534346284728 |   53.2537696990187 |
|         2 | 342.67798509823405 |  53.63091461107778 |
|         3 | 189.43318346616851 | 54.677683848050975 |
|         4 |  637.2400019579694 | 55.072893699018756 |
|         5 |  685.2360525744133 |  56.65277053136489 |
|         6 | 248.10883536514206 | 57.147970005487736 |
|         7 |  650.4639712851721 | 57.866818963336705 |
|         8 |   376.798277487765 |  59.25212985979842 |
|         9 |  555.8760866457241 | 59.286446785503465 |
|        10 |  706.7855007129106 |  58.76621680987345 |
|        11 |  723.5073316137556 |  58.85049920768252 |
|        12 |  779.7570940236335 | 59.340170956837106 |
|        13 |  273.8424366193222 | 59.713744687028054 |
|        14 |    422.83208398332 |  59.71663654660947 |
|        15 |  467.8034638127199 | 59.645270542376245 |
|        16 |  784.8984094312342 | 59.942474234845555 |
|        17 |  270.5834344658204 | 61.277812773316185 |
|        18 | 294.66107172241334 |  60.64546619361002 |
|        19 | 355.80394540999083 |  60.57859873020761 |
|        20 | 249.03465931552054 |  62.27967567176631 |
|        21 |  579.0265184994515 |  61.79515097286864 |
|        22 |  493.0632901374237 |  62.98790702489817 |
|        23 |  646.8434582616509 |  63.17168263503961 |
|        24 |  653.4715110129599 |  63.12893265915468 |
|        25 | 458.95172843023056 |  64.07439901121053 |
|        26 |  70.80085322038802 |  64.98655915058532 |
|        27 | 122.55617710297881 |  64.95977389100362 |
|        28 | 287.84437786848684 |  65.33029504178015 |
|        29 | 330.01453071417086 |  64.13436268013734 |
|        30 |  524.9628126387788 |  65.31794003104022 |
|        31 |   590.770915852843 |  64.54669131745673 |
|        32 |  690.9826621123603 |  64.99241045647246 |
|        33 |  741.5590024087533 |  64.74981745567992 |
|        34 |  556.8714564591927 |  65.51755476211663 |
|        35 |  605.4094193929521 |  65.80699460811078 |
|        36 |  657.8292831184318 |   65.1379106313343 |
|        37 |  736.9319906260803 |  66.31279844968192 |
|        38 |  784.2702752458154 |  66.10250351467161 |
|        39 | 101.41896249490938 |  66.87089254256173 |
|        40 | 126.81954261597392 |  66.92690915143999 |
|        41 | 192.09909763766356 |  66.84003719345327 |
|        42 | 380.54209895381143 |  66.87607965132686 |
|        43 |  394.2164671459833 |  67.08011530060988 |
|        44 |   466.531808461762 |  67.29976792284718 |
|        45 |  502.9204570337061 |  67.31710935432622 |
|        46 |   666.780921019495 |  66.89700271633012 |
|        47 |   168.133977115752 |   67.5941407214024 |
|        48 | 210.87814414541936 |  67.97070843176233 |
|        49 | 268.01295106741156 |   67.9290707538252 |
|        50 |  538.1231363140964 |   67.9126043952243 |
|        51 | 183.77442369744844 |  68.61607466558627 |
|        52 | 443.33600478485533 |   68.5216094120906 |
|        53 |  603.6862897539455 |  68.84994632322771 |
|        54 | 127.54853625831531 |  69.33917377025655 |
|        55 |  401.2716969826498 |  70.47162427309125 |
|        56 |  546.2159913022119 |  69.72540705445425 |
|        57 |  582.2124468119855 |  70.57531349661222 |
|        58 |  91.01648883403975 |   70.6064287840732 |
|        59 |  472.7373791202289 |  70.96253038750882 |
|        60 |  510.5777008245782 |  71.17137912172899 |
|        61 |  663.2487653769263 |  70.62556766508912 |
|        62 | 240.27541189586688 |  72.10573573531086 |
|        63 |  534.8869044918737 |  72.17386197093803 |
|        64 |  558.4893159584199 |   71.5630725067827 |
|        65 |  771.6731402791173 |  71.70357166532754 |
|        66 | 158.76044847860396 |   72.6404351061758 |
|        67 | 180.07056969741717 |  73.35726799954192 |
|        68 | 227.84571858955746 |  73.06492594394858 |
|        69 |  314.9495244285371 |  72.48961594690074 |
|        70 |  670.2146207123611 |  72.99147983107433 |
|        71 |  790.0947813189458 |  72.72906838441024 |
|        72 | 167.45829117938456 |  73.95546389949519 |
|        73 | 491.93060342121936 |  74.40329974306049 |
|        74 |  585.5923817963626 |   74.5596337624763 |
|        75 |  695.9847480099968 |  73.70187679523393 |
|        76 |  797.0796910686225 |  73.56788565521695 |
|        77 |  441.1353634268572 |  75.23959331766045 |
|        78 |  515.2608092532819 |  75.13118355880157 |
|        79 |  383.9591048077008 |  75.80779058366689 |
|        80 |  391.5790970898152 |  75.87633191993126 |
|        81 |  489.9188016432717 |  75.78322801097559 |
|        82 |  610.7064349647497 |  75.77338125405318 |
|        83 |  753.7781888233537 |  75.96272563538963 |
|        84 | 149.17769905981453 |  76.87238845280746 |
|        85 |  398.2767953389185 |  76.84567171399179 |
|        86 | 415.02999990742853 |  77.40954227254684 |
|        87 |  583.1296871358924 |  76.55811193433637 |
|        88 | 120.53798773905363 |  77.58306679950162 |
|        89 | 190.65240654861154 |  79.09138341643379 |
|        90 | 247.98412208024286 |  79.34351601449451 |
|        91 | 304.47705221383836 |   79.0148511259519 |
|        92 |  315.1796961008475 |   78.8031733672263 |
|        93 | 215.96904327117502 |  79.64967950758277 |
|        94 | 219.46803910715855 |  79.54527865100971 |
|        95 |  292.9050075330604 |  79.47695650355116 |
|        96 |  591.9784780790978 |  79.37839103899476 |
|        97 |  606.6521468236219 |  79.78799760148291 |
|        98 |  704.8753042768783 |   80.0542208769764 |
|        99 |  76.38841337080592 |  81.22899149623937 |
|       100 |  84.17928963999603 |  80.69408214575179 |
|       101 | 272.29807860750293 |   81.0442118559214 |
|       102 |  281.5376393174275 |  81.17228176670318 |
|       103 |  650.5769114336209 |  81.41383269460367 |
|       104 |  660.4605134792196 |  80.82013390017013 |
|       105 |  114.0118383185844 |   82.4955052151222 |
|       106 |  267.5973281714999 |  82.07849811143203 |
|       107 |  308.7333845222621 |  81.74634270315639 |
