| Object_ID |           x_center |           y_center | f1_id | f2_id |          separation |
|         1 |  706.7934393804576 | 58.030413352693145 |    20 |    10 |  1.4716925630591566 |
|         2 |  723.2067918250805 |  58.18757926370081 |    21 |    11 |  1.4557293934047244 |
|         3 |  329.6085314421432 |  63.70481205507391 |    36 |    29 |  1.1821153046626167 |
|         4 |  605.1355910083673 |   65.1531630375504 |    39 |    35 |  1.4177132387980733 |
|         5 |  784.1400152699091 |  65.50555745435878 |    42 |    38 |  1.2219856959000825 |
|         6 | 393.83579813187293 |  66.43639168318677 |    46 |    43 |  1.4957125311129118 |
|         7 |  466.2011985647599 |  66.62822296175968 |    47 |    44 |  1.4970311135814565 |
|         8 |  442.9868904171731 |  67.87798811215872 |    51 |    52 |  1.4644169070973856 |
|         9 |  545.9560908838995 |  69.25161096203827 |    53 |    56 |   1.080797787983736 |
|        10 |  558.1134571289037 |  70.92959242819501 |    58 |    64 |   1.473182771678723 |
|        11 |  695.7551487902033 |   73.0232380727081 |    64 |    75 |  1.4328521451165037 |
|        12 |  796.9071926319152 |  72.94345194717278 |    65 |    76 |  1.2956437263511904 |
|        13 |  582.8690830498721 |  75.94651195517673 |    70 |    87 |   1.329615018204187 |
|        14 |   610.374338441569 |  75.11846364470443 |    71 |    82 |  1.4686118285562408 |
|        15 |  120.0622272459559 |  77.00684930267366 |    73 |    88 |  1.4944894117300358 |
|        16 |  292.4561015788586 |    78.886088150609 |    80 |    95 |  1.4841050720571325 |
|        17 |  591.6475902763541 |  78.74160940631717 |    81 |    96 |  1.4352387755633922 |
|        18 |  83.77013953736008 |   80.0928079563185 |    83 |   100 |  1.4545576060997851 |
|        19 |   271.897043988231 |  80.41156253175967 |    86 |   101 |  1.4980973709567387 |
|        20 |  281.1476054928555 |  80.56330445949787 |    87 |   102 |  1.4463467703165196 |
|        21 |  660.2102900261709 |  80.20315404659375 |    91 |   104 |  1.3315793873062503 |
|        22 |  681.5037295451721 |  81.09874365757373 |    92 |   108 |  1.4170265256901196 |
|        23 | 443.46119395364445 |  82.03591810529585 |    98 |   111 |  1.4093943811681542 |
