| Object_ID |           x_center |           y_center | aperture_radius |          mag_F336W |          mag_F555W |
|         1 |  706.7934393804576 | 58.030413352693145 |             4.5 | 23.338241935455343 |  20.51159118107348 |
|         2 |  723.2067918250805 |  58.18757926370081 |             4.5 | 23.291162466856026 | 20.187319948966366 |
|         3 |  329.6085314421432 |  63.70481205507391 |             4.5 | 24.235659351395856 | 21.130422222127127 |
|         4 |  605.1355910083673 |   65.1531630375504 |             4.5 | 22.680151448280704 | 19.769839948681668 |
|         7 |  466.2011985647599 |  66.62822296175968 |             4.5 | 23.038656284837714 | 20.552761416492782 |
|         8 |  442.9868904171731 |  67.87798811215872 |             4.5 | 21.923006719115804 |  18.61481035150935 |
|         9 |  545.9560908838995 |  69.25161096203827 |             4.5 |  25.84850133320963 | 22.286364883371665 |
|        10 |  558.1134571289037 |  70.92959242819501 |             4.5 | 26.211209749549045 | 21.197086368333586 |
|        11 |  695.7551487902033 |   73.0232380727081 |             4.5 |    22.540357160509 | 19.300870633389845 |
|        13 |  582.8690830498721 |  75.94651195517673 |             4.5 | 22.647025294577936 | 19.101601651359857 |
|        15 |  120.0622272459559 |  77.00684930267366 |             4.5 |  23.25566351083533 |  19.91629725738315 |
|        16 |  292.4561015788586 |    78.886088150609 |             4.5 |  24.27109835988306 | 21.009129972895675 |
|        17 |  591.6475902763541 |  78.74160940631717 |             4.5 |   22.7961062170481 | 18.787813845632357 |
|        18 |  83.77013953736008 |   80.0928079563185 |             4.5 | 24.130262982684084 |  20.63645799627744 |
|        19 |   271.897043988231 |  80.41156253175967 |             4.5 |  24.28235640247291 |   20.4969118806235 |
|        20 |  281.1476054928555 |  80.56330445949787 |             4.5 | 23.416163192615993 | 20.517230920226115 |
|        21 |  660.2102900261709 |  80.20315404659375 |             4.5 | 23.840027143107715 |  20.44817100201624 |
|        22 |  681.5037295451721 |  81.09874365757373 |             4.5 | 22.722018878968587 | 19.877169908278884 |
|        23 | 443.46119395364445 |  82.03591810529585 |             4.5 | 25.436837878711827 | 22.093046443810167 |
|        24 |  686.0044785114903 |  82.66810296099945 |             4.5 |  22.83832605683047 | 19.362070003156568 |
|        27 |  697.4541470565472 |  85.09413913107797 |             4.5 | 24.440582510970174 | 20.783215176051353 |
|        30 |  338.2816231289295 |   86.9331113765189 |             4.5 |  22.06909589573797 | 17.763538163369788 |
|        31 |  494.0458194480992 |  86.25469755977079 |             4.5 |  22.55689201244319 | 19.506163424749897 |
|        32 |  671.3868045292428 |  86.82411758361181 |             4.5 | 23.085343071921866 | 19.702078951149435 |
|        34 |  777.4415902587498 |  88.72537034433304 |             4.5 |  22.75465386555106 |  19.13475180537252 |
|        35 |  622.8137824910029 |   89.6199257613016 |             4.5 |  25.01604061981461 | 22.525939260075933 |
|        36 |  634.5928493120855 |   89.5288655170502 |             4.5 |  24.85982510887299 | 21.595933359934744 |
|        37 |  528.4637656413986 |  91.84703863769101 |             4.5 |  23.65847326973222 | 20.338600529197702 |
|        38 |  358.8650852080017 |  92.22564002664586 |             4.5 | 23.484991134901392 |  19.00643439902211 |
|        43 |  628.6096811274751 |  93.66852974240604 |             4.5 | 24.105313152061367 | 21.155630561046195 |
|        44 |    718.58348582137 |  93.40678629607606 |             4.5 | 24.150355007226782 |  20.82753849360196 |
|        45 |  755.4410928796108 |  93.93701147092452 |             4.5 |  24.00199685504613 |  21.41324875148175 |
|        46 |  271.4319995768295 |  95.05038934642226 |             4.5 | 24.706944793324585 |  21.57570107334569 |
|        48 | 511.25421136869426 |  94.43133777959272 |             4.5 | 22.329885749232698 |  18.83127697925228 |
|        49 |    564.95489084408 |  94.60403128899841 |             4.5 | 23.929002418329368 | 20.749960582409045 |
|        50 |  704.2711188352757 |   94.0723542883245 |             4.5 | 23.174671884528337 |  19.68578516274883 |
|        51 |  712.2081330640337 |   94.4482804101415 |             4.5 | 25.152119574933156 |  20.88274275475974 |
|        52 |  791.1388363350361 |  94.50895918979299 |             4.5 |  23.76352548547836 | 21.169566658236125 |
|        53 | 377.12564691135503 |  95.27440740474071 |             4.5 |  24.67089404843885 | 20.808766125176916 |
|        54 |  796.1770572203609 |   94.8902864697319 |             4.5 | 23.934375023144003 | 20.153986196312992 |
|        56 |  498.7347164855313 |  99.15896331695254 |             4.5 | 23.275485439786422 | 20.238740767440696 |
|        57 |  662.0942017367277 |  99.31667156446434 |             4.5 | 19.819977637224184 | 16.834597122984892 |
|        58 |  741.1778113256153 |  99.23921422259139 |             4.5 | 25.276479227390077 |  21.64356978176626 |
|        59 |  64.83660360523392 | 100.36685449675619 |             4.5 | 24.322362697218896 | 20.903812202991073 |
|        60 | 234.70386745350524 | 100.69457162040699 |             4.5 | 24.389782244724955 | 22.116654960616547 |
|        61 |  310.0034847560577 | 100.83669221719595 |             4.5 | 22.059614993903878 |  18.33785424482178 |
|        62 |  364.2050619355284 | 100.26795365118522 |             4.5 |  24.22981934256585 |  22.54477712962187 |
|        63 |  492.7634270096843 | 101.08706902800816 |             4.5 | 23.340369002921985 | 20.771234664616156 |
|        64 | 250.17348982831237 |  101.1467569406199 |             4.5 | 23.312358143769355 |  19.89019424372696 |
|        65 | 442.42564161974593 | 101.58177343996148 |             4.5 | 26.054979244947276 | 21.082061107464305 |
|        67 |  544.0629636101667 |  101.3769621057501 |             4.5 | 24.084374877420593 | 20.529116663452964 |
|        68 |  646.8028565266884 | 103.37601451591237 |             4.5 |  22.57014258484098 | 19.203879767731763 |
|        69 |  400.3179511577122 | 104.46100093802235 |             4.5 | 22.653527490710623 | 19.577367864373116 |
